date,status,day,day_map,weather,weather_map,temp,atemp,casual,registered,total
2011-01-01,Weekend,Saturday,6,Cloudy/Misty,2,0.344167,0.363625,331,654,985
2011-01-02,Weekend,Sunday,0,Cloudy/Misty,2,0.363478,0.353739,131,670,801
2011-01-03,Weekday,Monday,1,Sunny,1,0.196364,0.189405,120,1229,1349
2011-01-04,Weekday,Tuesday,2,Sunny,1,0.2,0.212122,108,1454,1562
2011-01-05,Weekday,Wednesday,3,Sunny,1,0.226957,0.22927,82,1518,1600
2011-01-06,Weekday,Thursday,4,Sunny,1,0.204348,0.233209,88,1518,1606
2011-01-07,Weekday,Friday,5,Cloudy/Misty,2,0.196522,0.208839,148,1362,1510
2011-01-08,Weekend,Saturday,6,Cloudy/Misty,2,0.165,0.162254,68,891,959
2011-01-09,Weekend,Sunday,0,Sunny,1,0.138333,0.116175,54,768,822
2011-01-10,Weekday,Monday,1,Sunny,1,0.150833,0.150888,41,1280,1321
2011-01-11,Weekday,Tuesday,2,Cloudy/Misty,2,0.169091,0.191464,43,1220,1263
2011-01-12,Weekday,Wednesday,3,Sunny,1,0.172727,0.160473,25,1137,1162
2011-01-13,Weekday,Thursday,4,Sunny,1,0.165,0.150883,38,1368,1406
2011-01-14,Weekday,Friday,5,Sunny,1,0.16087,0.188413,54,1367,1421
2011-01-15,Weekend,Saturday,6,Cloudy/Misty,2,0.233333,0.248112,222,1026,1248
2011-01-16,Weekend,Sunday,0,Sunny,1,0.231667,0.234217,251,953,1204
2011-01-17,Holiday,Monday,1,Cloudy/Misty,2,0.175833,0.176771,117,883,1000
2011-01-18,Weekday,Tuesday,2,Cloudy/Misty,2,0.216667,0.232333,9,674,683
2011-01-19,Weekday,Wednesday,3,Cloudy/Misty,2,0.292174,0.298422,78,1572,1650
2011-01-20,Weekday,Thursday,4,Cloudy/Misty,2,0.261667,0.25505,83,1844,1927
2011-01-21,Weekday,Friday,5,Sunny,1,0.1775,0.157833,75,1468,1543
2011-01-22,Weekend,Saturday,6,Sunny,1,0.0591304,0.0790696,93,888,981
2011-01-23,Weekend,Sunday,0,Sunny,1,0.0965217,0.0988391,150,836,986
2011-01-24,Weekday,Monday,1,Sunny,1,0.0973913,0.11793,86,1330,1416
2011-01-25,Weekday,Tuesday,2,Cloudy/Misty,2,0.223478,0.234526,186,1799,1985
2011-01-26,Weekday,Wednesday,3,Rain,3,0.2175,0.2036,34,472,506
